Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Kubernetes Engine,CCD8-9BF1-090E,Autopilot Pod mCPU Requests (us-central1),3194-8714-B3AD,"964,693.222",hour,42.93,0.00,0.00,42.928257,42.93,New
Kubernetes Engine,CCD8-9BF1-090E,Autopilot Kubernetes Clusters,F52D-A61F-C7D1,180.597,hour,18.06,0.00,0.00,18.059614,18.06,New
Kubernetes Engine,CCD8-9BF1-090E,Autopilot Pod Memory Requests (us-central1),C097-3083-F510,"2,053.814",gibibyte hour,10.11,0.00,0.00,10.109176,10.11,New
Cloud Monitoring,58CD-E7C3-72CA,Prometheus Samples Ingested,A4E4-DF03-CDB6,"106,535,585",Samples,6.39,0.00,0.00,6.391330,6.39,New
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Micro instance in Americas,C2D4-F7DF-B8D0,496.176,hour,5.21,0.00,0.00,5.209843,5.21,New
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum for Americas (multi-region),CBE2-3343-9091,183.018,hour,4.58,0.00,0.00,4.575372,4.58,New
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum Global,DEE3-C42E-3E4D,183.018,hour,4.58,0.00,0.00,4.575372,4.58,New
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - Standard storage in Americas,C18F-7FE0-0717,9.129,gibibyte month,1.55,0.00,0.00,1.551735,1.55,New
Secret Manager,EE82-7A5E-871C,Secret version replica storage,7756-ADEF-84F4,13.038,month,0.78,0.00,0.00,0.781931,0.78,New
Kubernetes Engine,CCD8-9BF1-090E,Autopilot SSD Pod Ephemeral Storage Requests (us-central1),50A2-5B90-7622,"2,142.49",gibibyte hour,0.30,0.00,0.00,0.296450,0.30,New
Compute Engine,6F81-5844-456A,E2 Instance Core running in Americas,CF4E-A0C7-E3BF,10.781,hour,0.24,0.00,0.00,0.235105,0.24,New
Secret Manager,EE82-7A5E-871C,Secret access operations,EBA7-264F-2D2C,"50,566",count,0.15,0.00,0.00,0.151698,0.15,New
Compute Engine,6F81-5844-456A,E2 Instance Ram running in Americas,F449-33EC-A5EF,43.124,gibibyte hour,0.13,0.00,0.00,0.126037,0.13,New
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Americas,F274-1692-F213,0.28,gibibyte,0.03,0.00,0.00,0.033277,0.03,New
Compute Engine,6F81-5844-456A,Balanced PD Capacity,6AE1-525F-8B80,0.246,gibibyte month,0.02,0.00,0.00,0.024469,0.02,New
Compute Engine,6F81-5844-456A,Storage PD Capacity,D973-5D65-BAB2,0.612,gibibyte month,0.02,0.00,0.00,0.024449,0.02,New
Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,0.163,gibibyte month,0.02,0.00,0.00,0.016093,0.02,New
Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer Out,DE9E-AFBC-A15A,0.401,gibibyte,0.00,0.00,0.00,0.003813,0.00,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Iowa (us-central1),1481-64C8-6805,0.312,gibibyte,0.00,0.00,0.00,0.002405,0.00,0%
Cloud SQL,9662-B51E-5089,Storage PD Snapshot,66AB-BA17-351C,0.014,gibibyte month,0.00,0.00,0.00,0.000899,0.00,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to EMEA,7EB3-F1EB-EC4A,0.005,gibibyte,0.00,0.00,0.00,0.000855,0.00,0%
Cloud SQL,9662-B51E-5089,Network Inter Connect Data Transfer Out Americas,AFEC-8830-099C,0.011,gibibyte,0.00,0.00,0.00,0.000555,0.00,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to APAC,094A-C58C-9FD6,0.001,gibibyte,0.00,0.00,0.00,0.000181,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to EMEA,DFA5-B5C6-36D6,0.01,gibibyte,0.00,0.00,0.00,0.000111,0.00,0%
Cloud SQL,9662-B51E-5089,Network Internet Data Transfer Out from Americas to Americas,238B-D94B-7243,0,gibibyte,0.00,0.00,0.00,0.000073,0.00,0%
Cloud Monitoring,58CD-E7C3-72CA,Time series billed count,6E35-67F5-C3C6,66,count,0.00,0.00,0.00,0.000032,0.00,0%
Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - Americas Based,984A-1F27-2D1F,0.001,gibibyte,0.00,0.00,0.00,0.000028,0.00,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Iowa (us-central1),C134-B6DB-FFCB,0.012,gibibyte,0.00,0.00,0.00,0.000006,0.00,0%
Artifact Registry,149C-F9EC-3994,Artifact Registry Network Intra Region Egress,546B-E8F2-6FF5,1.891,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Artifact Registry,149C-F9EC-3994,"Artifact Registry Network Internet Egress Intercontinental (Excl Oceania, Africa and China)",72BD-5309-1C4C,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,3.293,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to South America,03A5-1B2A-3485,0.019,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Los Angeles,0C3C-6B13-B1E8,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Jakarta to Americas,0D56-2F80-52A5,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Africa,11D6-3D11-8E77,0,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
Compute Engine,6F81-5844-456A,Network Data Transfer In from Google Services from Americas to Americas,123C-0EFC-B7C8,158.997,gibibyte,0.00,0.00,0.00,0.000000,0.00,0%
